tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,9,40,120,2102,233.55555555555554,52.55,17.516666666666666,1.1333333333333333,3.4,15.11111111111111,0.225,0.765,18.335971049457182
2,42,157,384,5562,132.42857142857142,35.42675159235669,14.484375,0.5677083333333334,1.3885350318471337,5.190476190476191,0.267515923566879,0.37145523144955167,18.763894273127743
3,20,137,362,5376,268.8,39.24087591240876,14.850828729281767,0.5469613259668509,1.4452554744525548,9.9,0.145985401459854,0.21098620065000798,17.3121251149954
4,8,56,144,2098,262.25,37.464285714285715,14.569444444444445,1.6458333333333333,4.232142857142857,29.625,0.14285714285714285,0.6045918367346937,17.19134615384615
5,5,118,318,4436,887.2,37.59322033898305,13.949685534591195,1.0220125786163523,2.7542372881355934,65.0,0.0423728813559322,0.11670496983625396,18.516792668957617
6,9,100,256,4100,455.55555555555554,41.0,16.015625,2.01953125,5.17,57.44444444444444,0.09,0.4653,18.834697336561735
7,10,27,64,852,85.2,31.555555555555557,13.3125,2.734375,6.481481481481482,17.5,0.37037037037037035,2.400548696844993,17.320445682451254
8,26,118,316,4686,180.23076923076923,39.71186440677966,14.829113924050633,0.17405063291139242,0.4661016949152542,2.1153846153846154,0.22033898305084745,0.10270037345590347,18.192546835443043
9,4,9,24,466,116.5,51.77777777777778,19.416666666666668,10.041666666666666,26.77777777777778,60.25,0.4444444444444444,11.901234567901234,12.979782608695647
10,12,182,438,7874,656.1666666666666,43.26373626373626,17.977168949771688,4.3173515981735155,10.39010989010989,157.58333333333334,0.06593406593406594,0.6850621905566961,17.582730531117615
11,21,92,236,3906,186.0,42.45652173913044,16.550847457627118,1.5508474576271187,3.9782608695652173,17.428571428571427,0.22826086956521738,0.9080812854442343,17.734810205351582
12,6,47,130,2296,382.6666666666667,48.851063829787236,17.661538461538463,2.123076923076923,5.872340425531915,46.0,0.1276595744680851,0.7496604798551381,20.2204081632653
13,4,13,34,640,160.0,49.23076923076923,18.823529411764707,32.76470588235294,85.6923076923077,278.5,0.3076923076923077,26.366863905325445,16.091492537313435
14,10,53,142,2546,254.6,48.0377358490566,17.929577464788732,9.084507042253522,24.339622641509433,129.0,0.18867924528301888,4.592381630473478,17.483756050338815
15,4,52,134,2270,567.5,43.65384615384615,16.940298507462686,3.3208955223880596,8.557692307692308,111.25,0.07692307692307693,0.6582840236686391,18.574903640256952
16,4,66,156,2810,702.5,42.57575757575758,18.012820512820515,0.8717948717948718,2.0606060606060606,34.0,0.06060606060606061,0.1248852157943067,16.136522506619595
17,3,29,88,1566,522.0,54.0,17.795454545454547,3.75,11.379310344827585,110.0,0.10344827586206896,1.177170035671819,19.401251862891204
18,7,47,126,2162,308.85714285714283,46.0,17.158730158730158,1.246031746031746,3.3404255319148937,22.428571428571427,0.14893617021276595,0.49751018560434584,17.160973451327433
19,7,61,170,2746,392.2857142857143,45.01639344262295,16.152941176470588,1.911764705882353,5.327868852459017,46.42857142857143,0.11475409836065574,0.611394786347756,16.782035087719297
20,9,51,130,1966,218.44444444444446,38.549019607843135,15.123076923076923,1.4307692307692308,3.6470588235294117,20.666666666666668,0.17647058823529413,0.643598615916955,16.816347826086957
21,11,78,228,3866,351.45454545454544,49.56410256410256,16.95614035087719,1.2105263157894737,3.5384615384615383,25.09090909090909,0.14102564102564102,0.4990138067061144,19.312329793878828
22,16,102,288,4548,284.25,44.588235294117645,15.791666666666666,1.9270833333333333,5.4411764705882355,34.6875,0.1568627450980392,0.8535178777393311,17.797517241379314
23,5,65,146,2478,495.6,38.12307692307692,16.972602739726028,1.1712328767123288,2.6307692307692307,34.2,0.07692307692307693,0.20236686390532546,17.767276507276502
24,5,57,156,2348,469.6,41.19298245614035,15.051282051282051,3.0448717948717947,8.333333333333334,95.0,0.08771929824561403,0.7309941520467836,18.554879328436517
25,23,76,180,2706,117.65217391304348,35.60526315789474,15.033333333333333,0.95,2.25,7.434782608695652,0.3026315789473684,0.680921052631579,17.152873769024172
,,,,,,,,,,,,,
tale_id,episode_id,sentence,dep_distance,Eventfulness,I
1,1,"Oli muinoin köyhä mylläri, jolla oli tytär ihana.",45,0.16666666666666666,7.5
1,1,"Hän kerta kuninkaan puheille sattui ja sanoi silloin, arvollisemmalta muka näyttääksensä: ""onhan minulla tytär semmoinen, joka oljesta osaa kehrätä kultaa.""",301,0.16666666666666666,50.166666666666664
1,1,"Kuningas myllärille vastasi: ""noh sepä vasta konsti minun mielehiseni; jos tyttäres on niin näppärä, kuten kehut, lähetä hänet huomenna minun linnaani, minä hänen taitavuuttansa koetella tahdon.""",499,0.16666666666666666,83.16666666666666
1,1,"Sitten toisena päivänä tytön tultua kuningas hänen vei kamariin, joka oli olkia täynnänsä, sekä antoi hänelle rukin ja vyhdin-puun sanoen: ""ryhdy nyt heti työhön, ja jolleivät nämät oljet huomen-aamulla varahin ole kullaksi kehrättynä, sinä kuoleman omaksi joudut.""",947,0.16666666666666666,157.83333333333331
1,1,"Sitten hän itse pani lukkuhun kamarin oven, ja tyttö sinne jäi yksiksensä.",79,0.16666666666666666,13.166666666666666
1,2,"Siinä nyt istui myllärin tytär parka ihan ymmällänsä, mikä neuvoksi, sillä hän ei ensinkään ymmärtänyt, mitenkä oljista kävisi kultaa kehrääminen, ja hänen tuskansa vain kiihtyi kiihtymistänsä, kunnes hän viimein itkemään hyrähti.",538,0.047619047619047616,25.619047619047617
1,2,"Silloin äkkiä aukeni ovi ja huonehesen astui mies pienoinen lausuen: ""hyvää iltaa, myllärin-tytär neitsyeni!",123,0.047619047619047616,5.857142857142857
1,2,"miksi noin katkerasti itket?""",15,0.047619047619047616,0.7142857142857142
1,2,"- ""Voi, voi,"" vastasi tyttö, ""minun pitäisi näistä oljista kultaa kehräämän, enkä ollenkaan ymmärrä, miten menetellä.""",325,0.047619047619047616,15.476190476190474
1,2,"Sanoipa silloin mies pieni: ""mitä annat minulle, jos nämät kehrään sinun puolestas?""",97,0.047619047619047616,4.619047619047619
1,2,"- ""Minun kaulakoristeeni,"" tyttö vastata tokasi.",45,0.047619047619047616,2.142857142857143
1,2,"Pikku mies kaula-koristeen otti sekä istui rukin äärehen, hyrr, yrr, yrr, kolmasti pyörä ympäri kieri, ja jo oli yksi rulla täynnä.",263,0.047619047619047616,12.523809523809524
1,2,"Sitten hän toisen pisti karahan, ja hyrr, yrr, yrr, vain kolme pyöräystä, jopa sekin oli täytehen tullut, ja näin hän työskenteli aamuun asti, jolloin oli oljet kaikki kehrättynä sekä kaikki rullat täynnänsä kultaa.",781,0.047619047619047616,37.19047619047619
1,2,Jo auringon noustessa tuli kuningas ja nähdessään noita kulta- kasoja sekä hämmästyi että ihastui; mutta kullan-himon villitsemänä hän vain enempää himoitsi.,253,0.047619047619047616,12.047619047619047
1,2,"Sentähden hän myllärin tyttären lähetti toiseen vielä isompaan, oljilla täytettyyn kamariin, pannen tytölle määräksi, että tuo yhtenä yönä nämätkin kehräisi, jollei häntä tuonelan tuville haluttaisi.",335,0.047619047619047616,15.95238095238095
1,2,"Siinä lapsi rukka sitten neuvotonna istui itkemässä, mutta tulipa taas ovesta mies pieni ja puhui hänelle: ""mitäs minulle annat, jos sinun puolestas oljet kehrään kullaksi?""",436,0.047619047619047616,20.76190476190476
1,2,"- ""Sormestani sormuksen,"" tyttö vastasi.",36,0.047619047619047616,1.7142857142857142
1,2,"Pikku mies tuon otti sekä rupesi taas kehräämisen toimeen, ja ennen-kuin aamu koitti, oli jo kaikki oljet kiiltäväksi kullaksi kehrättynä.",213,0.047619047619047616,10.142857142857142
1,2,"Nuot kasat kuningasta kyllä ihastuttivat, mutta eipä hän vielä ollut kultaa saanut kylliksensä, vaan pani myllärin tyttären vieläkin isompaan huonehesen, joka oli olkia täpö täynnänsä, sekä sanoi: ""vielä tänä yönä sinun pitää saada nämät kehrätyksi, mutta jos sinulta tämä onnistuu, olet minun puolisokseni pääsevä.""",1379,0.047619047619047616,65.66666666666666
1,2,"- ""Vaikka hän onkin halpa myllärin-tytär,"" kuningas ajatteli, ""ei koko mailmassa ole rikkaampaa vaimoa löydettävissäni.""",231,0.047619047619047616,11.0
